VILLAGE_CODE,PINCODE,VILLAGE_ADDRESS,VILLAGE_NAME
V001,575002,Kodiyalbail,Mangaluru
V002,574219,Kallige,Bantwal
V003,574201,Bolwar,Puttur
V004,574239,Sonangeri,Sullia
V005,574214,Bangady,Belthangady
V006,574197,Peranja,Moodabidri
V007,574103,Hejmadikodi,Mulki
V008,574017,Amblamogaru,Ullal
V009,574111,Nandikur,Padubidri
V010,574253,Ananthady,Mani
V011,574243,Biliyoorkatte,Vitla
V012,574241,Bajathur,Uppinangady
V013,575011,Baikampady,Surathkal
V014,574221,Ballya,Kadaba
V015,574229,Golithattu,Nelyadi
